Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-11-21T00:00:00.000Z,"1730","16",20,10,0
2020-11-22T00:00:00.000Z,"1010","16",20,10,0
2020-11-23T00:00:00.000Z,"1840","16",20,10,0
2020-11-24T00:00:00.000Z,"1680","16",20,10,0
2020-11-25T00:00:00.000Z,"1300","16",20,10,0
2020-11-26T00:00:00.000Z,"1180","16",20,10,0
2020-11-27T00:00:00.000Z,"1360","16",20,10,0
2020-11-28T00:00:00.000Z,"1670","16",20,10,0
2020-11-29T00:00:00.000Z,"940","16",20,10,0
2020-11-30T00:00:00.000Z,"1700","16",20,10,0
2020-12-01T00:00:00.000Z,"1330","16",20,10,0
2020-12-02T00:00:00.000Z,"1310","16",20,10,0
2020-12-03T00:00:00.000Z,"1830","16",20,10,0
2020-12-04T00:00:00.000Z,"1450","16",20,10,0
2020-12-05T00:00:00.000Z,"2070","16",20,10,0
2020-12-06T00:00:00.000Z,"1120","16",20,10,0
2020-12-07T00:00:00.000Z,"1980","16",20,10,0
2020-12-08T00:00:00.000Z,"1300","16",20,10,0
2020-12-09T00:00:00.000Z,"1210","16",20,10,0
2020-12-10T00:00:00.000Z,"1250","16",20,10,0
2020-12-11T00:00:00.000Z,"2340","16",20,10,0
2020-12-12T00:00:00.000Z,"5770","16",20,10,0
2020-12-13T00:00:00.000Z,"9320","16",20,10,0
2020-12-14T00:00:00.000Z,"4240","16",20,10,0
2020-12-15T00:00:00.000Z,"4290","16",20,10,0
2020-12-16T00:00:00.000Z,"12100","16",20,10,0
2020-12-17T00:00:00.000Z,"6100","16",20,10,0
2020-12-18T00:00:00.000Z,"6200","16",20,10,0
2020-12-19T00:00:00.000Z,"6080","16",20,10,0
2020-12-20T00:00:00.000Z,"5820","16",20,10,0
2020-12-21T00:00:00.000Z,"7800","16",20,10,0
2020-12-22T00:00:00.000Z,"6470","16",20,10,0
2020-12-23T00:00:00.000Z,"5860","16",20,10,0
2020-12-24T00:00:00.000Z,"5150","16",20,10,0
2020-12-25T00:00:00.000Z,"8070","16",20,10,0
2020-12-26T00:00:00.000Z,"5720","16",20,10,0
2020-12-27T00:00:00.000Z,"5110","16",20,10,0
2020-12-28T00:00:00.000Z,"5140","16",20,10,0
